wine_id,name,wine_type,rating_mean,rating_num,kprice,Alcohol_content,Pairings,Light_Bold,Smooth_Tannic,Dry_Sweet,Soft_Acidic,vintage,grape_simple,Winery,Grapes,Region,Wine style,Allergens,imgurl,link
0,Nero d'Avola,Red,3.5,117,22998.0,13.0,"['Beef', 'Pasta', 'Lamb']",75.53670588235293,51.93411764705883,35.49682352941176,47.39458823529412,2020,Nero d'Avola,Nicosia,100% Nero d'Avola,Italy / Terre Siciliane,Southern Italy Red,Contains sulfites,https://images.vivino.com/thumbs/-JZeaolXQeGwAs-w-_btLw_pb_x600.png,https://www.vivino.com//JP/en/nicosia-nero-d-avola/w/2281860?year=2020&price_id=28458301
1,Campredon,Red,3.5,131,47882.0,12.5,"['Beef', 'Pasta', 'Veal']",69.79988235294118,60.76835294117648,3.101976470588236,67.36200000000001,2017,Blend,Alain Chabanon,"Shiraz/Syrah, Grenache, Mourvedre",France / Languedoc-Roussillon / Languedoc,Languedoc-Roussillon Red,Contains sulfites,https://images.vivino.com/thumbs/erg7eEHXTGqKBnrE6cndWw_pb_x600.png,https://www.vivino.com//JP/en/domaine-alain-chabanon-campredon/w/1100690?year=2017&price_id=25837692
2,Cava Brut Nature,Sparkling,3.5,256,30438.0,11.5,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif', 'Cured Meat']",52.66105882352941,54.36922352941176,15.969529411764706,67.05741176470589,2016,Blend,Carles Andreu,"Parellada, Macabeo",Spain / Cava,Spanish Cava,Contains sulfites,https://images.vivino.com/thumbs/7Sd_XoCiRkiPDfyiSMheWQ_pb_x600.png,https://www.vivino.com//JP/en/carlos-andreu-cava-brut-nature/w/1182405?price_id=27211080
3,The High Trellis Cabernet Sauvignon,Red,3.5,238,28184.0,14.5,"['Beef', 'Lamb', 'Poultry']",79.41976470588236,71.15188235294119,7.809176470588236,65.4295294117647,2018,Cabernet Franc,d'Arenberg,100% Cabernet Franc,Australia / South Australia / Fleurieu / McLaren Vale,Australian Cabernet Sauvignon,Contains sulfites,https://images.vivino.com/thumbs/OuMBVtQyQ7WZAcfjNZSYUQ_pb_x600.png,https://www.vivino.com//JP/en/d-arenberg-the-high-trellis-cabernet-sauvignon/w/13389?year=2018&price_id=26506222
4,Sauvignon Blanc,White,3.5,236,34271.0,13.0,"['Shellfish', 'Vegetarian', 'Goat cheese']",49.097647058823526,54.36922352941176,4.165670588235295,76.19541176470588,2020,Sauvignon Blanc,Bread & Butter,100% Sauvignon Blanc,United States / California / North Coast,Californian Sauvignon Blanc,Contains sulfites,https://images.vivino.com/thumbs/yU4KWEiIR12aVdXTzpwLxg_pb_x600.png,https://www.vivino.com//JP/en/bread-and-butter-sauvignon-blanc/w/8155745?year=2020&price_id=25709628
5,Haut-Mï§_oc,Red,3.5,224,28696.0,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",84.47435294117648,83.58917647058823,5.527058823529412,83.47270588235295,2010,Blend,Chï§_eau Laborde,"75% Merlot, 25% Cabernet Sauvignon",France / Bordeaux / Mï§_oc / Haut-Mï§_oc,Bordeaux Mï§_oc,Contains sulfites,https://images.vivino.com/thumbs/AjKmDcNiRoyrpxvQMTvMTA_pb_x600.png,https://www.vivino.com//JP/en/chateau-laborde-haut-medoc/w/1809683?year=2010&price_id=26206980
6,La Bohï§_e Cuvï§_ Blanc,Sparkling,3.5,219,38412.0,13.5,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2016,Blend,De Bortoli,"Chardonnay, Pinot Noir",Australia / Victoria / Port Phillip / Yarra Valley,,Contains sulfites,https://images.vivino.com/thumbs/7TVS3PUwSwW596o2nZjXxQ_pb_x600.png,https://www.vivino.com//JP/en/de-bortoli-la-boheme-cuvee-blanc-yarra-valley-sparkling/w/5680190?price_id=28995743
7,Chianti Superiore,Red,3.5,214,26134.0,13.5,"['Beef', 'Veal', 'Poultry']",51.768,65.09835294117647,2.180658823529412,76.96847058823529,2019,Sangiovese,Castello del Trebbio,100% Sangiovese,Italy / Toscana / Chianti,Italian Chianti,Contains sulfites,https://images.vivino.com/thumbs/DrQelrFQStKlAFuaEhhwjg_pb_x600.png,https://www.vivino.com//JP/en/castello-del-trebbio-chianti-superiore/w/4292789?year=2019&price_id=25881854
8,Marsala Superiore Secco,Fortified,3.5,209,30889.0,18.0,0,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,2016,Grillo,Curatolo Arini,100% Grillo,Italy / Terre Siciliane / Marsala,,Contains sulfites,https://images.vivino.com/thumbs/7jiafxmQSJ-UrunXTaM6_g_pb_x600.png,https://www.vivino.com//JP/en/curatolo-arini-marsala-superiore-secco/w/4357802?price_id=28592231
9,Pedrera Monastrell Jumilla,Red,3.5,193,15373.0,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",63.28258823529412,80.11458823529411,15.364705882352942,62.54929411764706,2019,Blend,Juan Gil,"Shiraz/Syrah, Monastrell",Spain / Murcia / Jumilla,Spanish Monastrell,Contains sulfites,https://images.vivino.com/thumbs/EAc2HEK_TCmjS9yRBbHQTw_pb_x600.png,https://www.vivino.com//JP/en/juan-gil-pedrera-monastrell-jumilla/w/1180979?year=2019&price_id=27668652
