,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
0,0,0,0,Nero d'Avola,2020,Red wine,Nero d'Avola,117 ratings,"22,998",//images.vivino.com/thumbs/-JZeaolXQeGwAs-w-_btLw_pb_x600.png
1,1,1,1,Campredon,2017,Red wine,Blend,131 ratings,"47,882",//images.vivino.com/thumbs/erg7eEHXTGqKBnrE6cndWw_pb_x600.png
2,2,2,2,Cava Brut Nature,2016,Sparkling wine,Blend,256 ratings,"30,438",//images.vivino.com/thumbs/7Sd_XoCiRkiPDfyiSMheWQ_pb_x600.png
3,3,3,3,The High Trellis Cabernet Sauvignon,2018,Red wine,Cabernet Franc,238 ratings,"28,184",//images.vivino.com/thumbs/OuMBVtQyQ7WZAcfjNZSYUQ_pb_x600.png
4,4,4,4,Sauvignon Blanc,2020,White wine,Sauvignon Blanc,236 ratings,"34,271",//images.vivino.com/thumbs/yU4KWEiIR12aVdXTzpwLxg_pb_x600.png
5,5,5,5,Haut-Me_oc,2010,Red wine,Blend,224 ratings,"28,696",//images.vivino.com/thumbs/AjKmDcNiRoyrpxvQMTvMTA_pb_x600.png
6,6,6,6,La Bohe_e Cuve_ Blanc,2016,Sparkling wine,Blend,219 ratings,"38,412",//images.vivino.com/thumbs/7TVS3PUwSwW596o2nZjXxQ_pb_x600.png
7,7,7,7,Chianti Superiore,2019,Red wine,Sangiovese,214 ratings,"26,134",//images.vivino.com/thumbs/DrQelrFQStKlAFuaEhhwjg_pb_x600.png
8,8,8,8,Marsala Superiore Secco,2016,Fortified Wine,Grillo,209 ratings,"30,889",//images.vivino.com/thumbs/7jiafxmQSJ-UrunXTaM6_g_pb_x600.png
9,9,9,9,Pedrera Monastrell Jumilla,2019,Red wine,Blend,193 ratings,"15,373",//images.vivino.com/thumbs/EAc2HEK_TCmjS9yRBbHQTw_pb_x600.png
10,10,10,10,The Stump Jump Sauvignon Blanc,2019,White wine,Sauvignon Blanc,182 ratings,"18,038",//images.vivino.com/thumbs/v7Pb-zBQQ06hYlEERcLBNw_pb_x600.png
11,11,11,11,Bordeaux,2016,Red wine,Blend,159 ratings,"18,448",//images.vivino.com/thumbs/N_DY2L01RymaH1ju1dclHw_pb_x600.png
12,12,12,12,Chardonnay,2019,White wine,Chardonnay,291 ratings,"28,184",//images.vivino.com/thumbs/fWGACwwARB2NW-LOwXNOdw_pb_x600.png
13,13,13,13,La Tribuna,2019,Red wine,Blend,115 ratings,"20,292",//images.vivino.com/thumbs/XW_PmF_0Rf-89tSHQ4HNxg_pb_x600.png
14,14,14,14,Chardonnay,2018,White wine,Chardonnay,102 ratings,"31,566",//images.vivino.com/thumbs/ZHPOTzbsQ52ARrHpfRgw9g_pb_x600.png
15,15,15,15,Rose,2019,Rose wine,Grenache,99 ratings,"25,929",//images.vivino.com/thumbs/6_0af_hLQdSLFhSHjUXZ0Q_pb_x600.png
16,16,16,16,Heartcraft Sparkling White,2016,Sparkling wine,Blend,97 ratings,"22,321",//images.vivino.com/thumbs/R_a3NoTKQ3-7dD_MeOCeFg_pb_x600.png
17,17,17,17,Bourgogne Aligote,2020,White wine,Aligote,96 ratings,"47,349",//images.vivino.com/thumbs/o2UzRfwZQjqFM0XjlC7RoA_pb_x600.png
18,18,18,18,Chardonnay,2019,White wine,Chardonnay,94 ratings,"15,557",//images.vivino.com/thumbs/qfsGVAIBTIaH7_fsqOcATw_pb_x600.png
19,19,19,19,Bourgogne Aligote Buissonnier,2020,White wine,Aligote,94 ratings,"26,605",//images.vivino.com/thumbs/lhyZPOfaQleQpl6z1pP17Q_pb_x600.png
20,20,20,20,Haut-Me_oc,2006,Red wine,Blend,92 ratings,"33,820",//images.vivino.com/thumbs/0281rp4pvvlox_150x200.jpg
