wine_id,name,vintage,wine_type,grape_simple,rating_mean,rating_num,price,kprice,Winery,Grapes,Region,Wine style,Alcohol content,Allergens,Pairings,imgurl,link,LightBold,SmoothTannic,DrySweet,SoftAcidic,GentleFizzy
0,Nero d'Avola,2020,Red wine,Nero d'Avola,3.5,117 ratings,"ï§2,244","22,998",Nicosia,100% Nero d'Avola,Italy / Terre Siciliane,Southern Italy Red,13.0,Contains sulfites,"['Beef', 'Pasta', 'Lamb']",//images.vivino.com/thumbs/-JZeaolXQeGwAs-w-_btLw_pb_x600.png,https://www.vivino.com//JP/en/nicosia-nero-d-avola/w/2281860?year=2020&price_id=28458301,75.53670588235293,51.93411764705883,35.49682352941176,47.39458823529412,0.0
1,Campredon,2017,Red wine,Blend,3.5,131 ratings,"ï§4,672","47,882",Alain Chabanon,"Shiraz/Syrah, Grenache, Mourvedre",France / Languedoc-Roussillon / Languedoc,Languedoc-Roussillon Red,12.5,Contains sulfites,"['Beef', 'Pasta', 'Veal']",//images.vivino.com/thumbs/erg7eEHXTGqKBnrE6cndWw_pb_x600.png,https://www.vivino.com//JP/en/domaine-alain-chabanon-campredon/w/1100690?year=2017&price_id=25837692,69.79988235294118,60.76835294117648,3.101976470588236,67.36200000000001,0.0
2,Cava Brut Nature,2016,Sparkling wine,Blend,3.5,256 ratings,"ï§2,970","30,438",Carles Andreu,"Parellada, Macabeo",Spain / Cava,Spanish Cava,11.5,Contains sulfites,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif', 'Cured Meat']",//images.vivino.com/thumbs/7Sd_XoCiRkiPDfyiSMheWQ_pb_x600.png,https://www.vivino.com//JP/en/carlos-andreu-cava-brut-nature/w/1182405?price_id=27211080,52.66105882352941,54.36922352941176,15.969529411764706,67.05741176470589,78.10364705882353
3,The High Trellis Cabernet Sauvignon,2018,Red wine,Cabernet Franc,3.5,238 ratings,"ï§2,750","28,184",d'Arenberg,100% Cabernet Franc,Australia / South Australia / Fleurieu / McLaren Vale,Australian Cabernet Sauvignon,14.5,Contains sulfites,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/OuMBVtQyQ7WZAcfjNZSYUQ_pb_x600.png,https://www.vivino.com//JP/en/d-arenberg-the-high-trellis-cabernet-sauvignon/w/13389?year=2018&price_id=26506222,79.41976470588236,71.15188235294119,7.809176470588236,65.4295294117647,0.0
4,Sauvignon Blanc,2020,White wine,Sauvignon Blanc,3.5,236 ratings,"ï§3,344","34,271",Bread & Butter,100% Sauvignon Blanc,United States / California / North Coast,Californian Sauvignon Blanc,13.0,Contains sulfites,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/yU4KWEiIR12aVdXTzpwLxg_pb_x600.png,https://www.vivino.com//JP/en/bread-and-butter-sauvignon-blanc/w/8155745?year=2020&price_id=25709628,49.097647058823526,54.36922352941176,4.165670588235295,76.19541176470588,0.0
5,Haut-Mï§_oc,2010,Red wine,Blend,3.5,224 ratings,"ï§2,800","28,696",Chï§_eau Laborde,"75% Merlot, 25% Cabernet Sauvignon",France / Bordeaux / Mï§_oc / Haut-Mï§_oc,Bordeaux Mï§_oc,13.5,Contains sulfites,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/AjKmDcNiRoyrpxvQMTvMTA_pb_x600.png,https://www.vivino.com//JP/en/chateau-laborde-haut-medoc/w/1809683?year=2010&price_id=26206980,84.47435294117648,83.58917647058823,5.527058823529412,83.47270588235295,0.0
6,La Bohï§_e Cuvï§_ Blanc,2016,Sparkling wine,Blend,3.5,219 ratings,"ï§3,748","38,412",De Bortoli,"Chardonnay, Pinot Noir",Australia / Victoria / Port Phillip / Yarra Valley,,13.5,Contains sulfites,,//images.vivino.com/thumbs/7TVS3PUwSwW596o2nZjXxQ_pb_x600.png,https://www.vivino.com//JP/en/de-bortoli-la-boheme-cuvee-blanc-yarra-valley-sparkling/w/5680190?price_id=28995743,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,0.0
7,Chianti Superiore,2019,Red wine,Sangiovese,3.5,214 ratings,"ï§2,550","26,134",Castello del Trebbio,100% Sangiovese,Italy / Toscana / Chianti,Italian Chianti,13.5,Contains sulfites,"['Beef', 'Veal', 'Poultry']",//images.vivino.com/thumbs/DrQelrFQStKlAFuaEhhwjg_pb_x600.png,https://www.vivino.com//JP/en/castello-del-trebbio-chianti-superiore/w/4292789?year=2019&price_id=25881854,51.768,65.09835294117647,2.180658823529412,76.96847058823529,0.0
8,Marsala Superiore Secco,2016,Fortified Wine,Grillo,3.5,209 ratings,"ï§3,014","30,889",Curatolo Arini,100% Grillo,Italy / Terre Siciliane / Marsala,,18.0,Contains sulfites,,//images.vivino.com/thumbs/7jiafxmQSJ-UrunXTaM6_g_pb_x600.png,https://www.vivino.com//JP/en/curatolo-arini-marsala-superiore-secco/w/4357802?price_id=28592231,68.88503647058823,54.36922352941176,15.969529411764706,64.47297647058824,0.0
9,Pedrera Monastrell Jumilla,2019,Red wine,Blend,3.5,193 ratings,"ï§1,500","15,373",Juan Gil,"Shiraz/Syrah, Monastrell",Spain / Murcia / Jumilla,Spanish Monastrell,13.5,Contains sulfites,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/EAc2HEK_TCmjS9yRBbHQTw_pb_x600.png,https://www.vivino.com//JP/en/juan-gil-pedrera-monastrell-jumilla/w/1180979?year=2019&price_id=27668652,63.28258823529412,80.11458823529411,15.364705882352942,62.54929411764706,0.0
10,The Stump Jump Sauvignon Blanc,2019,White wine,Sauvignon Blanc,3.5,182 ratings,"ï§1,760","18,038",d'Arenberg,100% Sauvignon Blanc,Australia / South Australia / Fleurieu / McLaren Vale,Australian Sauvignon Blanc,13.0,Contains sulfites,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/v7Pb-zBQQ06hYlEERcLBNw_pb_x600.png,https://www.vivino.com//JP/en/d-arenberg-the-stump-jump-sauvignon-blanc/w/13380?year=2019&price_id=26506093,53.10470588235295,54.36922352941176,8.927200000000001,81.25705882352942,0.0
