,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,Winery,Grapes,Region,Alcohol content,Pairings,imgurl,rec_id
0,0,0,0,0,0,0,0,0,0,Nero d'Avola,2020,Red wine,Nero d'Avola,117 ratings,"22,998",Nicosia,100% Nero d'Avola,Italy / Terre Siciliane,13.0,"['Beef', 'Pasta', 'Lamb']",//images.vivino.com/thumbs/-JZeaolXQeGwAs-w-_btLw_pb_x600.png,"322, 593, 1252, 1415, 681, 927"
1,1,1,1,1,1,1,1,1,1,Campredon,2017,Red wine,Blend,131 ratings,"47,882",Alain Chabanon,"Shiraz/Syrah, Grenache, Mourvedre",France / Languedoc-Roussillon / Languedoc,12.5,"['Beef', 'Pasta', 'Veal']",//images.vivino.com/thumbs/erg7eEHXTGqKBnrE6cndWw_pb_x600.png,"86, 312, 1248, 351, 716, 1829"
2,2,2,2,2,2,2,2,2,2,Cava Brut Nature,2016,Sparkling wine,Blend,256 ratings,"30,438",Carles Andreu,"Parellada, Macabeo",Spain / Cava,11.5,"['Shellfish', 'Appetizers and snacks', 'Lean fish', 'Aperitif', 'Cured Meat']",//images.vivino.com/thumbs/7Sd_XoCiRkiPDfyiSMheWQ_pb_x600.png,"357, 349, 47, 699, 1069, 995"
3,3,3,3,3,3,3,3,3,3,The High Trellis Cabernet Sauvignon,2018,Red wine,Cabernet Franc,238 ratings,"28,184",d'Arenberg,100% Cabernet Franc,Australia / South Australia / Fleurieu / McLaren Vale,14.5,"['Beef', 'Lamb', 'Poultry']",//images.vivino.com/thumbs/OuMBVtQyQ7WZAcfjNZSYUQ_pb_x600.png,"754, 1258, 163, 1861, 856, 1049"
4,4,4,4,4,4,4,4,4,4,Sauvignon Blanc,2020,White wine,Sauvignon Blanc,236 ratings,"34,271",Bread & Butter,100% Sauvignon Blanc,United States / California / North Coast,13.0,"['Shellfish', 'Vegetarian', 'Goat cheese']",//images.vivino.com/thumbs/yU4KWEiIR12aVdXTzpwLxg_pb_x600.png,"492, 29, 611, 109, 846, 1739"
5,5,5,5,5,5,5,5,5,5,Haut-Me_oc,2010,Red wine,Blend,224 ratings,"28,696",Che_eau Laborde,"75% Merlot, 25% Cabernet Sauvignon",France / Bordeaux / M筌_oc / Haut-M筌_oc,13.5,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",//images.vivino.com/thumbs/AjKmDcNiRoyrpxvQMTvMTA_pb_x600.png,"237, 1782, 814, 281, 567, 502"
6,6,6,6,6,6,6,6,6,6,La Bohe_e Cuve_ Blanc,2016,Sparkling wine,Blend,219 ratings,"38,412",De Bortoli,"Chardonnay, Pinot Noir",Australia / Victoria / Port Phillip / Yarra Valley,13.5,,//images.vivino.com/thumbs/7TVS3PUwSwW596o2nZjXxQ_pb_x600.png,"8, 15, 23, 31, 38, 41"
7,7,7,7,7,7,7,7,7,7,Chianti Superiore,2019,Red wine,Sangiovese,214 ratings,"26,134",Castello del Trebbio,100% Sangiovese,Italy / Toscana / Chianti,13.5,"['Beef', 'Veal', 'Poultry']",//images.vivino.com/thumbs/DrQelrFQStKlAFuaEhhwjg_pb_x600.png,"1526, 323, 2020, 1107, 420, 564"
8,8,8,8,8,8,8,8,8,8,Marsala Superiore Secco,2016,Fortified Wine,Grillo,209 ratings,"30,889",Curatolo Arini,100% Grillo,Italy / Terre Siciliane / Marsala,18.0,,//images.vivino.com/thumbs/7jiafxmQSJ-UrunXTaM6_g_pb_x600.png,"8, 15, 23, 31, 38, 41"
9,9,9,9,9,9,9,9,9,9,Pedrera Monastrell Jumilla,2019,Red wine,Blend,193 ratings,"15,373",Juan Gil,"Shiraz/Syrah, Monastrell",Spain / Murcia / Jumilla,13.5,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)']",//images.vivino.com/thumbs/EAc2HEK_TCmjS9yRBbHQTw_pb_x600.png,"955, 304, 1694, 1020, 1606, 375"
